quarter,real_GDP,cpi_level,unemp_rate,agg_deposits,base_rate,cpi_rate
2000Q1,444540,53.3,5.8,5.5,5.87,
2000Q2,447825,53.8,5.5,4.9,6.0,
2000Q3,450688,53.8,5.3,6.0,6.0,
2000Q4,453447,54.1,5.2,6.1,6.0,
2001Q1,457680,53.8,5.1,7.7,5.86,0.9380863039399625
2001Q2,459620,54.6,5.0,8.5,5.36,1.4869888475836512
2001Q3,462016,54.6,5.1,8.4,5.05,1.4869888475836512
2001Q4,463404,54.6,5.2,8.4,4.23,0.9242144177449167
2002Q1,464698,54.6,5.2,8.1,4.0,1.4869888475836512
2002Q2,466935,55.1,5.2,8.3,4.0,0.9157509157509158
2002Q3,470277,55.1,5.3,8.1,4.0,0.9157509157509158
2002Q4,473899,55.5,5.1,8.2,4.0,1.6483516483516456
2003Q1,477357,55.5,5.2,8.6,3.85,1.6483516483516456
2003Q2,481552,55.8,4.9,8.2,3.75,1.2704174228675058
2003Q3,485973,55.9,5.0,8.1,3.53,1.451905626134296
2003Q4,490059,56.2,4.9,8.6,3.65,1.2612612612612664
2004Q1,492014,56.2,4.8,8.0,3.91,1.2612612612612664
2004Q2,494824,56.6,4.8,8.2,4.22,1.433691756272409
2004Q3,496642,56.6,4.7,8.9,4.65,1.2522361359570713
2004Q4,499020,57.0,4.7,8.3,4.75,1.4234875444839807
2005Q1,502702,57.1,4.7,8.5,4.75,1.6014234875444813
2005Q2,506906,57.7,4.8,8.8,4.75,1.943462897526504
2005Q3,511132,58.0,4.7,8.1,4.59,2.4734982332155453
2005Q4,515935,58.2,5.1,7.9,4.5,2.105263157894742
2006Q1,518495,58.2,5.2,8.1,4.5,1.9264448336252213
2006Q2,520318,59.0,5.5,7.6,4.5,2.2530329289428024
2006Q3,521780,59.4,5.5,8.2,4.66,2.4137931034482736
2006Q4,524569,59.8,5.5,8.1,4.89,2.7491408934707806
2007Q1,529398,59.9,5.5,8.1,5.22,2.920962199312707
2007Q2,533187,60.5,5.4,8.3,5.4,2.5423728813559325
2007Q3,537052,60.4,5.3,8.1,5.74,1.6835016835016834
2007Q4,540258,61.1,5.2,8.8,5.69,2.1739130434782683
2008Q1,542804,61.3,5.2,8.6,5.35,2.3372287145242048
2008Q2,539918,62.6,5.4,8.4,5.03,3.4710743801652915
2008Q3,531619,63.3,5.9,7.1,5.0,4.801324503311256
2008Q4,520230,63.4,6.4,5.3,3.37,3.764320785597377
